f_Sig mu_fSig sigma_fSig mu_ratio sigma_ratio mu_BR sigma_BR mu_RTAU sigma_RTAU
0.0 -1.20799e-05 0.000894865 -1.75517e-05 0.00137004 -1.47699e-06 0.000126046 -3.88502e-06 0.000303142
1e-05 1.40717e-05 0.000896516 2.24841e-05 0.00137244 2.06428e-06 0.000126354 4.98637e-06 0.000303706
2e-05 8.43168e-06 0.000891855 1.3923e-05 0.00136559 1.42001e-06 0.000125739 3.09393e-06 0.000302191
3e-05 3.70567e-05 0.000896535 5.77148e-05 0.00137266 5.409e-06 0.000126418 1.27807e-05 0.000303709
4e-05 3.94686e-05 0.000902185 6.13761e-05 0.00138145 5.73162e-06 0.000127483 1.35532e-05 0.000305635
5e-05 5.25186e-05 0.000893429 8.12193e-05 0.00136772 7.51876e-06 0.00012602 1.79564e-05 0.000302598
6e-05 6.28333e-05 0.000894807 9.70602e-05 0.00136984 9.06224e-06 0.000126312 2.14709e-05 0.000303068
7e-05 7.08734e-05 0.000900839 0.000109361 0.00137921 1.02642e-05 0.000127046 2.41847e-05 0.000305157
8e-05 6.64245e-05 0.000894824 0.00010293 0.00137016 9.5352e-06 0.000126217 2.27665e-05 0.000303093
9e-05 7.52851e-05 0.000900864 0.000116259 0.00137923 1.0967e-05 0.000127129 2.57092e-05 0.000305196
0.0001 9.16217e-05 0.000897105 0.000141155 0.00137345 1.31576e-05 0.000126494 3.12632e-05 0.00030392
0.00011 8.9832e-05 0.000898388 0.000138436 0.00137552 1.28679e-05 0.000126634 3.06412e-05 0.000304313
0.00012 0.000134241 0.000891106 0.00020644 0.00136467 1.9046e-05 0.000125646 4.56743e-05 0.000301913
0.00013 0.000107215 0.000905968 0.000164942 0.001387 1.52681e-05 0.000127931 3.65202e-05 0.000306908
0.00014 0.000130612 0.000893032 0.000200919 0.00136728 1.85399e-05 0.000125927 4.44391e-05 0.000302517
0.00015 0.000146658 0.000904183 0.000225495 0.00138445 2.08933e-05 0.000127579 4.99005e-05 0.000306326
0.00016 0.000155849 0.000903657 0.000239512 0.00138369 2.22081e-05 0.000127632 5.29918e-05 0.000306154
0.00017 0.000178086 0.000910642 0.000273719 0.00139458 2.53309e-05 0.000128439 6.05802e-05 0.000308581
0.00018 0.000148241 0.00090722 0.000227789 0.00138906 2.11479e-05 0.000128123 5.03721e-05 0.00030732
0.00019 0.000177309 0.00088944 0.000272252 0.00136196 2.50621e-05 0.000125538 6.02581e-05 0.000301342
0.0002 0.000199148 0.000897638 0.00030577 0.00137458 2.82508e-05 0.000126656 6.76892e-05 0.000304154
0.00021 0.000211251 0.000898518 0.000324399 0.00137589 3.00919e-05 0.000126813 7.17819e-05 0.000304447
0.00022 0.000215446 0.000900853 0.00033081 0.00137931 3.0643e-05 0.00012716 7.32125e-05 0.000305213
0.00023 0.000220478 0.000899225 0.000338543 0.00137707 3.12176e-05 0.000126898 7.49341e-05 0.000304712
0.00024 0.000240152 0.000899612 0.000368477 0.00137729 3.40685e-05 0.000127079 8.15152e-05 0.000304733
0.00025 0.000251071 0.000895996 0.000385171 0.00137197 3.54175e-05 0.000126201 8.52117e-05 0.000303577
0.00026 0.000250853 0.000904111 0.00038493 0.00138474 3.55656e-05 0.000127716 8.51733e-05 0.000306366
0.00027 0.000264464 0.000898817 0.000405844 0.00137619 3.75489e-05 0.000127013 8.97916e-05 0.000304497
0.00028 0.000264518 0.000906877 0.000405878 0.00138887 3.74885e-05 0.000128025 8.9781e-05 0.000307279
0.00029 0.00028221 0.000898044 0.000432887 0.00137497 3.98476e-05 0.00012656 9.57894e-05 0.00030426
0.0003 0.000294208 0.000898165 0.000451328 0.00137548 4.16067e-05 0.000126812 9.98583e-05 0.000304321
0.00031 0.000298532 0.000896064 0.000458072 0.00137241 4.21862e-05 0.000126229 0.000101343 0.000303652
0.00032 0.000301744 0.0008965 0.000462964 0.00137297 4.28634e-05 0.000126637 0.000102416 0.0003038
0.00033 0.000316877 0.00089803 0.000486046 0.00137516 4.48929e-05 0.000126778 0.000107532 0.000304266
0.00034 0.000334312 0.000892334 0.000512714 0.00136644 4.72962e-05 0.000126122 0.000113423 0.000302318
0.00035 0.000349068 0.000893213 0.000535497 0.00136796 4.93479e-05 0.000126205 0.000118507 0.000302685
0.00036 0.000339298 0.000905619 0.000520366 0.00138673 4.78822e-05 0.000127775 0.000115152 0.000306866
0.00037 0.000367953 0.000892257 0.000564333 0.00136674 5.19974e-05 0.000125879 0.000124853 0.000302426
0.00038 0.000376292 0.000906148 0.000577225 0.00138794 5.33217e-05 0.00012805 0.00012773 0.000307132
0.00039 0.000395227 0.00090457 0.000605753 0.00138526 5.5927e-05 0.000127744 0.000134057 0.00030655
0.0004 0.000381279 0.000896571 0.000584589 0.001373 5.39687e-05 0.000126527 0.000129366 0.000303861
0.00041 0.000401168 0.000892355 0.000615221 0.00136668 5.68281e-05 0.000126066 0.000136133 0.000302444
