f_Sig mu_fSig sigma_fSig mu_ratio sigma_ratio mu_BR sigma_BR mu_RTAU sigma_RTAU
0.0001 0.000172488 0.00087644 0.00026554 0.00134001 2.42335e-05 0.000122058 5.85678e-05 0.000296504
0.00015 0.000103623 0.000934048 0.000159997 0.00142995 1.40964e-05 0.00013212 3.52579e-05 0.000315924
0.0002 0.00018766 0.000942919 0.000287522 0.00144268 2.58272e-05 0.000133009 6.36045e-05 0.000319116
0.00025 9.70757e-05 0.000844273 0.000148373 0.00129153 1.32166e-05 0.000118315 3.2804e-05 0.0002856
0.0003 0.000364103 0.000831849 0.000557528 0.00127186 5.11231e-05 0.000116888 0.000123192 0.000281357
0.00035 0.00032428 0.000928928 0.000497499 0.00142049 4.66769e-05 0.000132112 0.000110058 0.000314429
0.0004 0.000354135 0.000923071 0.000542755 0.00141341 5.05031e-05 0.000130218 0.000120064 0.000312944
0.00045 0.000459514 0.000899392 0.000703722 0.00137604 6.51323e-05 0.000127404 0.000155606 0.00030434
0.0005 0.000340132 0.000929118 0.000521827 0.00142104 4.83359e-05 0.000130809 0.000115491 0.000314369
0.00055 0.000546946 0.000997202 0.000837478 0.00152594 7.7771e-05 0.000141857 0.000185377 0.000337932
0.0006 0.000646577 0.000892008 0.000990121 0.0013643 9.11726e-05 0.000125977 0.00021905 0.00030184
0.00065 0.000577563 0.000869532 0.000884395 0.00133104 8.11202e-05 0.00012207 0.000195523 0.000294376
0.0007 0.000701579 0.000906935 0.00107321 0.00138674 9.80985e-05 0.000127704 0.000237433 0.000306896
0.00075 0.000708093 0.000870018 0.00108356 0.00133237 0.00010064 0.000123461 0.000239714 0.00029473
0.0008 0.000682413 0.000902024 0.00104497 0.00138159 9.66166e-05 0.000128077 0.000231131 0.000305646
0.00085 0.000878305 0.000874037 0.00134631 0.00134034 0.000122831 0.000122533 0.000297807 0.00029659
0.0009 0.000874003 0.000913466 0.0013373 0.00139819 0.000123592 0.00012886 0.000295756 0.000309241
0.00095 0.000960075 0.000880797 0.00146924 0.00134787 0.000134866 0.000124183 0.000325317 0.00029852
0.001 0.00108864 0.000892474 0.00166623 0.00136624 0.00015255 0.00012491 0.000368701 0.000302286
0.00105 0.00109411 0.000757259 0.00167406 0.00115925 0.000153265 0.000105873 0.000370529 0.000256544
0.0011 0.00126071 0.000887244 0.00193024 0.00136002 0.000178235 0.000126218 0.000426933 0.00030086
0.00115 0.00116295 0.000913919 0.00177929 0.00139893 0.00016479 0.000129734 0.000393613 0.00030944
0.0012 0.00118029 0.000910397 0.00180469 0.00139212 0.000165678 0.000129212 0.000399404 0.000308057
0.00125 0.00113692 0.000901974 0.00174172 0.00138308 0.000160947 0.00012811 0.000385153 0.000305801
0.0013 0.00131064 0.000920298 0.00200712 0.00141113 0.000184703 0.000130047 0.000444229 0.000312163
0.00135 0.00145872 0.000860225 0.00223068 0.00131491 0.000206478 0.000120953 0.000493684 0.000291185
0.0014 0.00132675 0.000822682 0.0020322 0.00126263 0.000187751 0.00011908 0.000449934 0.000279449
0.00145 0.00138738 0.000986861 0.00212439 0.00151143 0.000195148 0.000140784 0.000470225 0.000334723
0.0015 0.00144951 0.000929688 0.00221769 0.00142354 0.000205212 0.000132816 0.000490898 0.000315303
0.00155 0.00151048 0.000823911 0.0023102 0.00126167 0.000213874 0.000118339 0.000511199 0.000279425
0.0016 0.00160294 0.000964005 0.00245456 0.00147921 0.000227431 0.000137505 0.000543291 0.000327232
0.00165 0.00159513 0.000982458 0.0024406 0.00150497 0.000224981 0.000139868 0.000539939 0.000332838
0.0017 0.00168338 0.000919175 0.00257254 0.00140526 0.000236061 0.000129304 0.000568864 0.000310564
0.00175 0.00179824 0.00092358 0.00275389 0.00141744 0.000253378 0.000129764 0.000609447 0.000313808
0.0018 0.00179044 0.000885754 0.00273877 0.00135549 0.000251703 0.000125686 0.000606007 0.000300059
0.00185 0.00180776 0.000891619 0.00276602 0.00136613 0.00025394 0.000124988 0.000611982 0.00030215
0.0019 0.00185456 0.000897483 0.00283594 0.00137367 0.000261618 0.000126576 0.000627049 0.000303735
0.00195 0.00185665 0.000927008 0.00284196 0.00142161 0.000261137 0.000131181 0.000628426 0.000314019
0.002 0.00198039 0.000904284 0.0030293 0.0013847 0.000277474 0.000126977 0.000670107 0.000306257
0.00205 0.00209085 0.000927479 0.00320017 0.00142187 0.000296287 0.000133071 0.000707999 0.000314243
0.0021 0.0021135 0.000985944 0.00323191 0.00151165 0.000296923 0.000140612 0.000715131 0.00033517
0.00215 0.00210595 0.000944648 0.00322153 0.00144486 0.000297953 0.000134432 0.000712819 0.000320146
0.0022 0.00224708 0.000917579 0.00343884 0.00140686 0.000318089 0.000131325 0.000760821 0.00031127
0.00225 0.00232053 0.000858614 0.00355342 0.00131809 0.000328695 0.00012564 0.000786601 0.000292062
0.0023 0.00230193 0.000915065 0.00352145 0.00140276 0.000324294 0.000129994 0.000778942 0.000310298
0.00235 0.00231675 0.000850562 0.0035454 0.00130521 0.000324931 0.00011785 0.000784534 0.000289673
0.0024 0.00245153 0.000908913 0.00375075 0.00139316 0.000347649 0.000131287 0.000829904 0.000307971
